Name,Surname,H1,H2,H3,H4,H5,Exam
NewName4069,NewSurname7703,1,5,2,2,9,7
NewName9813,NewSurname3366,5,9,1,1,8,7
NewName7800,NewSurname2933,7,7,5,5,7,5
NewName7515,NewSurname2564,5,1,5,5,9,7
NewName9274,NewSurname250,6,4,4,4,9,8
NewName4179,NewSurname8345,2,1,2,2,4,7
NewName5256,NewSurname6402,7,8,4,4,8,5
NewName7828,NewSurname7025,4,8,4,4,1,5
NewName5075,NewSurname2629,7,6,7,7,1,9
NewName8866,NewSurname5681,9,1,7,7,4,9
NewName1189,NewSurname3185,3,2,3,3,3,8
NewName1648,NewSurname7781,5,4,8,8,8,5
NewName9504,NewSurname4965,7,4,1,1,8,6
NewName1613,NewSurname3495,3,9,6,6,3,8
NewName2091,NewSurname3102,8,7,9,9,6,9
NewName262,NewSurname4340,9,9,7,7,8,6
NewName572,NewSurname8523,2,7,8,8,2,7
NewName3041,NewSurname6644,6,5,7,7,3,7
NewName6544,NewSurname6865,3,6,6,6,3,8
NewName7201,NewSurname9104,2,1,9,9,7,8
NewName5066,NewSurname240,1,2,2,2,5,9
NewName9752,NewSurname4430,1,2,5,5,3,9
NewName5348,NewSurname1442,2,7,7,7,9,9
NewName3184,NewSurname6717,5,7,8,8,5,9
NewName6922,NewSurname7179,9,7,4,4,4,6
NewName7078,NewSurname779,2,9,9,9,3,7
NewName6928,NewSurname4994,4,3,3,3,3,9
NewName5310,NewSurname9272,7,1,3,3,8,9
NewName3514,NewSurname8825,6,9,3,3,5,8
NewName2037,NewSurname444,7,4,5,5,6,5
NewName6039,NewSurname1019,9,5,9,9,6,6
NewName5010,NewSurname2033,3,7,8,8,2,7
NewName1667,NewSurname1004,4,2,6,6,2,7
NewName1386,NewSurname7088,3,8,3,3,4,8
NewName9005,NewSurname7135,1,7,7,7,2,9
NewName2028,NewSurname3676,8,2,1,1,1,9
NewName9409,NewSurname1187,8,6,5,5,1,9
NewName5715,NewSurname8906,8,6,7,7,6,6
NewName4953,NewSurname9512,9,1,2,2,4,9
NewName253,NewSurname8157,1,6,2,2,3,7
NewName7346,NewSurname2267,1,9,4,4,4,6
NewName8159,NewSurname6800,4,8,4,4,8,9
NewName1114,NewSurname4418,8,7,3,3,5,7
NewName7371,NewSurname257,7,3,5,5,9,5
NewName3553,NewSurname7137,2,5,2,2,8,8
NewName1044,NewSurname6884,4,7,6,6,9,6
NewName7856,NewSurname2641,7,9,9,9,9,5
NewName8453,NewSurname9610,6,6,2,2,2,8
NewName2942,NewSurname4699,1,1,3,3,1,8
NewName4718,NewSurname4428,5,8,9,9,2,9
NewName2598,NewSurname7671,6,8,3,3,2,7
NewName9338,NewSurname4297,9,4,5,5,3,7
NewName3874,NewSurname7751,6,1,9,9,5,7
NewName4838,NewSurname1681,3,5,2,2,6,6
NewName488,NewSurname2153,2,6,9,9,8,6
NewName6583,NewSurname5881,5,2,1,1,9,8
NewName4166,NewSurname1606,1,8,5,5,5,9
NewName8811,NewSurname2336,5,7,5,5,1,5
NewName2793,NewSurname4548,7,8,8,8,1,7
NewName8807,NewSurname8063,1,9,8,8,8,8
NewName8848,NewSurname7791,7,5,4,4,3,9
NewName4577,NewSurname364,7,3,2,2,8,6
NewName1580,NewSurname2339,6,2,5,5,7,8
NewName6476,NewSurname3749,1,4,3,3,8,8
NewName2910,NewSurname2884,4,2,7,7,5,7
NewName6019,NewSurname8819,5,5,6,6,9,8
NewName4561,NewSurname4682,4,3,2,2,3,6
NewName716,NewSurname5746,5,1,7,7,1,9
NewName9179,NewSurname1636,6,1,9,9,6,7
NewName6488,NewSurname2333,9,8,4,4,7,9
NewName3617,NewSurname5802,8,3,1,1,1,7
NewName1939,NewSurname7628,5,5,1,1,7,8
NewName1569,NewSurname30,7,4,8,8,1,6
NewName558,NewSurname7282,9,3,9,9,5,7
NewName520,NewSurname8865,3,8,1,1,3,8
NewName6575,NewSurname3914,9,8,2,2,2,6
NewName769,NewSurname6159,6,5,9,9,6,8
NewName1206,NewSurname8516,2,1,2,2,7,7
NewName6864,NewSurname1562,7,3,9,9,6,7
NewName3407,NewSurname7307,4,5,3,3,5,8
NewName1312,NewSurname8075,5,9,9,9,3,5
NewName9492,NewSurname3219,2,9,5,5,6,6
NewName2278,NewSurname9675,6,5,7,7,2,7
NewName4570,NewSurname6884,9,8,6,6,8,9
NewName6487,NewSurname3394,7,9,6,6,5,8
NewName1918,NewSurname7866,4,8,3,3,1,9
NewName5017,NewSurname5871,3,2,5,5,6,7
NewName3913,NewSurname4653,6,2,1,1,6,8
NewName8142,NewSurname3096,4,8,9,9,1,6
NewName1412,NewSurname6164,4,8,5,5,6,6
NewName8927,NewSurname4767,5,2,9,9,6,5
NewName6941,NewSurname5963,4,3,8,8,1,6
