Name,Surname,H1,H2,H3,H4,H5,Exam
NewName3354,NewSurname2396,3,1,2,2,4,5
NewName3018,NewSurname4509,5,9,5,5,5,4
NewName3673,NewSurname2179,9,6,4,4,3,4
NewName8542,NewSurname4059,8,7,8,8,9,3
NewName1520,NewSurname4817,6,6,8,8,6,3
NewName791,NewSurname6876,6,3,6,6,6,2
NewName656,NewSurname2377,4,9,6,6,1,3
NewName9698,NewSurname5658,7,2,4,4,8,3
NewName5999,NewSurname7962,5,8,6,6,4,2
NewName7384,NewSurname8304,2,4,2,2,1,1
NewName5710,NewSurname4921,4,4,5,5,7,2
NewName3144,NewSurname6666,7,2,4,4,2,3
NewName3654,NewSurname4609,4,6,7,7,3,3
NewName8170,NewSurname8406,1,1,3,3,8,1
NewName5408,NewSurname4652,7,9,9,9,5,3
NewName1205,NewSurname4456,5,3,2,2,7,3
NewName9598,NewSurname3416,5,5,3,3,3,5
NewName7810,NewSurname5149,4,2,3,3,8,4
NewName9123,NewSurname5516,6,3,3,3,2,1
NewName9478,NewSurname7358,4,5,3,3,6,1
NewName6609,NewSurname4477,6,5,8,8,2,2
NewName5278,NewSurname7119,5,3,7,7,1,3
NewName6937,NewSurname3542,7,1,4,4,8,3
NewName6880,NewSurname2871,8,3,9,9,3,4
NewName5677,NewSurname8884,1,3,2,2,1,4
NewName2319,NewSurname3220,8,6,7,7,7,4
NewName9373,NewSurname2450,9,1,3,3,5,1
NewName4572,NewSurname9720,7,1,2,2,2,1
NewName8669,NewSurname1615,4,1,8,8,8,1
NewName4443,NewSurname6108,5,2,8,8,5,2
NewName2858,NewSurname7342,6,9,8,8,5,1
NewName8408,NewSurname4707,3,5,3,3,1,5
NewName6941,NewSurname677,5,6,1,1,1,1
NewName3024,NewSurname9984,1,2,1,1,6,4
NewName2983,NewSurname6415,8,4,3,3,2,4
NewName868,NewSurname3422,5,1,6,6,9,2
NewName9600,NewSurname3802,1,7,2,2,4,4
NewName6569,NewSurname2592,5,9,7,7,7,2
NewName2559,NewSurname2310,8,2,1,1,4,3
NewName1811,NewSurname5613,6,5,2,2,2,2
NewName5700,NewSurname3105,9,3,9,9,4,1
NewName5058,NewSurname2975,1,6,1,1,7,4
NewName6306,NewSurname5538,1,8,3,3,5,4
NewName2064,NewSurname91,6,4,8,8,5,2
NewName1396,NewSurname1401,1,3,8,8,3,2
NewName2190,NewSurname4522,8,3,3,3,3,1
NewName3653,NewSurname4581,2,9,4,4,2,1
NewName3778,NewSurname8999,7,1,5,5,8,4
NewName5092,NewSurname9717,9,4,1,1,5,4
NewName718,NewSurname4174,3,1,9,9,3,4
NewName9510,NewSurname2497,4,5,3,3,3,4
NewName1794,NewSurname6022,2,1,6,6,4,5
NewName6306,NewSurname6081,6,1,5,5,6,2
NewName1936,NewSurname2446,1,6,3,3,7,5
NewName6448,NewSurname3070,9,2,1,1,9,4
NewName3603,NewSurname2766,4,9,8,8,3,4
NewName9772,NewSurname6008,1,4,2,2,1,4
NewName9077,NewSurname7617,4,2,6,6,6,3
NewName8577,NewSurname8713,1,1,9,9,8,4
NewName3651,NewSurname2640,4,2,6,6,3,5
NewName6208,NewSurname908,6,2,5,5,8,4
NewName3220,NewSurname4130,1,2,6,6,8,4
NewName6213,NewSurname140,3,5,5,5,6,1
NewName3335,NewSurname2128,3,8,4,4,1,1
NewName8414,NewSurname8861,3,5,5,5,5,1
NewName2425,NewSurname2684,2,1,1,1,5,3
NewName788,NewSurname1776,7,6,4,4,7,1
NewName9296,NewSurname9400,4,2,1,1,4,5
NewName7519,NewSurname9454,6,4,8,8,3,4
NewName1345,NewSurname2238,6,1,8,8,3,3
NewName9381,NewSurname9044,6,3,1,1,9,3
NewName1485,NewSurname5161,9,2,2,2,5,1
NewName8371,NewSurname3875,4,9,7,7,9,4
NewName5574,NewSurname9277,8,3,3,3,9,5
NewName4288,NewSurname4847,3,7,2,2,3,1
NewName8456,NewSurname8749,3,4,3,3,7,2
NewName1997,NewSurname6350,3,9,2,2,9,4
NewName8687,NewSurname6705,2,6,7,7,2,5
NewName752,NewSurname8490,2,8,2,2,2,3
NewName4547,NewSurname6727,9,9,3,3,6,2
NewName1260,NewSurname2907,2,4,4,4,6,2
NewName1201,NewSurname5015,2,1,2,2,3,5
NewName7016,NewSurname819,7,9,9,9,7,1
NewName1835,NewSurname9458,6,3,7,7,7,2
NewName2987,NewSurname2154,8,9,5,5,2,3
NewName8095,NewSurname2110,3,9,4,4,2,4
NewName8686,NewSurname6473,1,3,6,6,5,4
NewName4282,NewSurname647,7,4,3,3,2,4
NewName2675,NewSurname5002,2,7,5,5,1,1
NewName6567,NewSurname6195,1,1,4,4,1,4
NewName3902,NewSurname7098,4,1,7,7,2,3
NewName2188,NewSurname7229,5,1,9,9,4,4
NewName1219,NewSurname3158,8,5,5,5,1,1
NewName6001,NewSurname2200,5,8,2,2,4,1
NewName869,NewSurname5247,8,1,6,6,7,1
NewName6285,NewSurname9327,5,1,5,5,1,2
NewName6372,NewSurname3851,4,7,9,9,7,2
NewName638,NewSurname9517,7,5,1,1,8,4
NewName8966,NewSurname7574,2,5,6,6,6,4
